ja,en
あの人[ひと]はだれですか,who is that person; hito means person.
長[なが]い努力[どりょく]のあと、仕事[しごと]で成功[せいこう]しました,after long effort I succeeded at work; seikou suru means to succeed.
子[こ]どもは一年[いちねん]でとても成長[せいちょう]しました,the child grew a lot in one year; seichou suru means to grow.
この方法[ほうほう]なら仕事[しごと]が早[はや]く進[すす]むと思[おも]います,I think work will go faster with this method; susumu means to move forward.
新[あたら]しい商品[しょうひん]の売上[うりあげ]が伸[の]びています,sales of the new product are growing; nobiru means to grow or extend.
給料[きゅうりょう]が減[へ]るのはとても困[こま]ります,it is a real problem if my salary goes down; heru means to decrease.
会議[かいぎ]の時間[じかん]を三時[さんじ]に変更[へんこう]しました,we changed the meeting time to three o'clock; henkou suru means to change something.
雨[あめ]のため、明日[あした]の予定[よてい]を延期[えんき]します,we will postpone tomorrow's plan because of the rain; enki suru means to postpone.
二[ふた]つの商品[しょうひん]の値段[ねだん]を比[くら]べました,I compared the prices of two products; kuraberu means to compare.
新[あたら]しい方法[ほうほう]と古[ふる]い方法[ほうほう]を比較[ひかく]しました,I compared the new method with the old one; hikaku suru means to make a comparison.
会議[かいぎ]の間[あいだ]、眠[ねむ]くても我慢[がまん]しました,I put up with being sleepy during the meeting; gaman suru means to endure.
どうぞ遠慮[えんりょ]しないで、たくさん食[た]べてください,please do not hold back and eat a lot; enryo suru means to hold back.
その仕事[しごと]を断[ことわ]るのは難[むずか]しいです,it is hard to turn down that job; kotowaru means to refuse.
仕事[しごと]で失敗[しっぱい]したときは、よく反省[はんせい]します,when I make a mistake at work I reflect on it carefully; hansei suru means to reflect on one's actions.
部長[ぶちょう]がわたしの資料[しりょう]を褒[ほ]めてくれました,the department head praised my materials; homeru means to praise.
助[たす]けてくれた友達[ともだち]に感謝[かんしゃ]しています,I am grateful to the friend who helped me; kansha suru means to be thankful.
わたしは父[ちち]をとても尊敬[そんけい]しています,I respect my father very much; sonkei suru means to respect.
あの映画[えいが]を見[み]て、とても感動[かんどう]しました,I was very moved when I saw that movie; kandou suru means to be moved.
今[いま]の仕事[しごと]に満足[まんぞく]しています,I am satisfied with my current job; manzoku suru means to be satisfied.
あのとき断[ことわ]ったことを後悔[こうかい]しています,I regret turning it down back then; koukai suru means to regret.
面接[めんせつ]の前[まえ]はとても緊張[きんちょう]しました,I was very nervous before the interview; kinchou suru means to get nervous.
新[あたら]しい仕事[しごと]が少[すこ]し不安[ふあん]です,I am a little uneasy about the new job; fuan means anxiety.
日本語[にほんご]を話[はな]すことに自信[じしん]がありません,I have no confidence in speaking Japanese; jishin means confidence.
彼[かれ]は感情[かんじょう]をあまり顔[かお]に出[だ]しません,he does not show much emotion on his face; kanjou means emotion.
あの店[みせ]の人[ひと]はとても印象[いんしょう]がよかったです,the staff at that shop made a very good impression; inshou means an impression.
彼[かれ]の会議[かいぎ]での態度[たいど]はよくなかったです,his attitude at the meeting was not good; taido means attitude.
どちらの商品[しょうひん]を買[か]うか迷[まよ]うことが多[おお]いです,I often cannot decide which product to buy; mayou means to hesitate.
一人[ひとり]で悩[なや]むより、友達[ともだち]に相談[そうだん]しましょう,rather than worrying alone let us talk to a friend; nayamu means to be troubled.
締切[しめきり]が近[ちか]いと焦[あせ]ることが多[おお]いです,I often get flustered when the deadline is near; aseru means to feel rushed.
試験[しけん]の結果[けっか]が悪[わる]くて落[お]ち込[こ]んでいます,my exam result was bad so I feel a little down; ochikomu means to feel down.
元気[げんき]がない友達[ともだち]を励[はげ]ましました,I encouraged a friend who was down; hagemasu means to encourage.
困[こま]っている人[ひと]には声[こえ]をかけましょう,let us speak up to people who are in trouble; koe o kakeru means to call out to someone.
母[はは]はこの手紙[てがみ]を読[よ]んで喜[よろこ]ぶでしょう,my mother will be delighted to read this letter; yorokobu means to be delighted.
若[わか]いときは、お金[かね]がなくて苦労[くろう]しました,when I was young I struggled without money; kurou suru means to have a hard time.
家族[かぞく]といっしょにいる時間[じかん]が一番[いちばん]幸[しあわ]せです,time with my family is the happiest; shiawase means happiness.
あの店[みせ]の人[ひと]はいつも笑顔[えがお]で話[はな]します,the staff at that shop always speak with a smile; egao means a smiling face.
その問題[もんだい]はもう解決[かいけつ]しました,that problem has already been solved; kaiketsu suru means to solve.
この国[くに]の経済[けいざい]のニュースをよく見[み]ます,I often watch the news about this country's economy; keizai means the economy.
旅行[りょこう]の費用[ひよう]は思[おも]ったより高[たか]かったです,the cost of the trip was higher than I thought; hiyou means cost.
今年[ことし]の会社[かいしゃ]の予算[よさん]は少[すく]ないです,this year's company budget is small; yosan means a budget.
新[あたら]しい商品[しょうひん]で会社[かいしゃ]の利益[りえき]が増[ふ]えました,the new product increased the company's profit; rieki means profit.
今[いま]の収入[しゅうにゅう]では家[いえ]は買[か]えません,I cannot buy a house on my current income; shuunyuu means income.
車[くるま]を買[か]うために毎月[まいつき]貯金[ちょきん]しています,I save money every month to buy a car; chokin suru means to save money.
電気[でんき]を消[け]してお金[かね]を節約[せつやく]します,I turn off the lights to save money; setsuyaku suru means to economize.
この部屋[へや]の家賃[やちん]は少[すこ]し高[たか]いです,the rent for this room is a little high; yachin means rent.
毎朝[まいあさ]、電車[でんしゃ]で一時間[いちじかん]通勤[つうきん]しています,I commute for an hour by train every morning; tsuukin suru means to commute.
店[みせ]で新[あたら]しい本[ほん]を注文[ちゅうもん]しました,I ordered a new book at the shop; chuumon suru means to place an order.
電話[でんわ]でホテルの部屋[へや]を予約[よやく]しました,I reserved a hotel room by phone; yoyaku suru means to reserve.
このケーキの材料[ざいりょう]は店[みせ]で買[か]えます,you can buy the ingredients for this cake at the shop; zairyou means ingredients or materials.
この機械[きかい]の使[つか]い方[かた]を教[おし]えてください,please teach me how to use this machine; kikai means a machine.
車[くるま]を直[なお]す道具[どうぐ]を借[か]りました,I borrowed tools to fix the car; dougu means a tool.
この仕事[しごと]をするために新[あたら]しい資格[しかく]を取[と]りました,I got a new qualification in order to do this job; shikaku means a qualification.
毎日[まいにち]歩[ある]くことは健康[けんこう]にいいです,walking every day is good for your health; kenkou means health.
若[わか]い世代[せだい]は新聞[しんぶん]をあまり読[よ]みません,the young generation rarely reads newspapers; sedai means a generation.
週末[しゅうまつ]、この店[みせ]には若者[わかもの]がたくさん来[き]ます,many young people come to this shop on weekends; wakamono means young people.
わたしの親[おや]は田舎[いなか]に住[す]んでいます,my parents live in the countryside; oya means a parent.
世界[せかい]の平和[へいわ]についてみんなで考[かんが]えました,we all thought about peace in the world; heiwa means peace.
祖父[そふ]は戦争[せんそう]のときのことを話[はな]してくれました,my grandfather told me about the time of the war; sensou means war.
市民[しみん]には選挙[せんきょ]に行[い]く権利[けんり]があります,citizens have the right to go and vote in elections; kenri means a right.
税金[ぜいきん]を払[はら]うのはみんなの義務[ぎむ]です,paying taxes is everyone's duty; gimu means a duty.
大[おお]きい組織[そしき]で働[はたら]くのは大変[たいへん]です,working in a big organization is tough; soshiki means an organization.
このサイトの会員[かいいん]になると安[やす]く買[か]えます,if you become a member of this site you can buy things cheaply; kaiin means a member.
駅[えき]はこの道[みち]と反対[はんたい]の方向[ほうこう]です,the station is in the opposite direction from this road; houkou means a direction.
家[いえ]から会社[かいしゃ]までの距離[きょり]は五[ご]キロぐらいです,the distance from my house to the office is about five kilometers; kyori means distance.
事故[じこ]のあとの状況[じょうきょう]を警察[けいさつ]に説明[せつめい]しました,I explained the situation after the accident to the police; joukyou means a situation.
雨[あめ]の場合[ばあい]、この予定[よてい]は変[か]わります,in case of rain this schedule will change; baai means a case or situation.
この二[ふた]つの事件[じけん]には関係[かんけい]がありません,these two incidents have no connection; kankei means a relation.
天気[てんき]は野菜[やさい]の値段[ねだん]に影響[えいきょう]します,the weather affects the price of vegetables; eikyou suru means to influence.
先生[せんせい]は学生[がくせい]に難[むずか]しい問題[もんだい]を与[あた]えました,the teacher gave the students a difficult problem; ataeru means to give.
来月[らいげつ]、日本語[にほんご]の試験[しけん]を受[う]けます,next month I will take a Japanese exam; ukeru means to take or receive.
この道[みち]では車[くるま]の速度[そくど]を落[お]としてください,please reduce your car speed on this road; sokudo means speed.
今朝[けさ]の気温[きおん]は思[おも]ったより低[ひく]かったです,this morning air temperature was lower than expected; kion means air temperature.
窓[まど]から朝[あさ]の光[ひかり]が入[はい]ってきます,the morning light comes in through the window; hikari means light.
この曲[きょく]は若[わか]い人[ひと]によく知[し]られています,this tune is well known among young people; kyoku means musical piece.
地球[ちきゅう]には多[おお]くの生[い]き物[もの]がいます,there are many living things on the earth; chikyu means the earth.
今日[きょう]は海[うみ]の波[なみ]がとても高[たか]いです,the sea waves are very high today; nami means wave.
この建物[たてもの]の太[ふと]い柱[はしら]は木[き]で作[つく]られています,the thick pillars of this building are made of wood; hashira means pillar.
来月[らいげつ]町[まち]で子供[こども]の歌[うた]の大会[たいかい]があります,there is a childrens singing contest in town next month; taikai means tournament.
駅[えき]の前[まえ]の歩道[ほどう]は朝[あさ]とても混[こ]みます,the sidewalk in front of the station gets very crowded in the morning; hodo means sidewalk.
大学[だいがく]で日本語[にほんご]の研究[けんきゅう]をしています,I do research on Japanese at university; kenkyu means research.
会社[かいしゃ]は客[きゃく]の意見[いけん]を調査[ちょうさ]しました,the company surveyed customer opinions; chosa suru means to survey.
古[ふる]い家[いえ]の屋根[やね]を先週[せんしゅう]直[なお]しました,we repaired the old house roof last week; yane means roof.
この会社[かいしゃ]は新[あたら]しい薬[くすり]を開発[かいはつ]しています,this company is developing a new medicine; kaihatsu suru means to develop.
この歌[うた]の表現[ひょうげん]はとても美[うつく]しいです,the expression in this song is very beautiful; hyogen means expression.
駅[えき]の前[まえ]の広場[ひろば]で子供[こども]が遊[あそ]んでいます,children are playing in the plaza in front of the station; hiroba means public square.
毎日[まいにち]の天気[てんき]を紙[かみ]に記録[きろく]しています,I record the daily weather on paper; kiroku suru means to record.
この仕事[しごと]の条件[じょうけん]を確認[かくにん]しました,I checked the conditions of this job; joken means condition.
この古[ふる]い車[くるま]の状態[じょうたい]はとても良[よ]いです,this old car is in very good condition; jotai means state.
相手[あいて]の立場[たちば]から考[かんが]えてみましょう,let us think from the other person position; tachiba means standpoint.
その問題[もんだい]の程度[ていど]はまだ分[わ]かりません,we do not yet know the extent of that problem; teido means degree.
計画[けいかく]は次[つぎ]の段階[だんかい]に進[すす]みました,the plan moved to the next stage; dankai means stage.
試験[しけん]の範囲[はんい]は先生[せんせい]が教[おし]えてくれます,the teacher tells us the range of the exam; hani means scope.
この店[みせ]の料理[りょうり]の特徴[とくちょう]を説明[せつめい]します,I will explain the features of this shop food; tokucho means characteristic.
昨日[きのう]の試合[しあい]は観客[かんきゃく]がとても多[おお]かったです,yesterday match had very many spectators; kankyaku means audience.
最近[さいきん]は本[ほん]を読[よ]む人[ひと]が減[へ]る傾向[けいこう]があります,lately there is a tendency for fewer readers; keiko means tendency.
電車[でんしゃ]は便利[べんり]な交通[こうつう]の手段[しゅだん]です,the train is a convenient means of transport; shudan means means.
会社[かいしゃ]は新[あたら]しい基準[きじゅん]を決[き]めました,the company decided on a new standard; kijun means criterion.
料理[りょうり]を作[つく]る過程[かてい]を写真[しゃしん]で見[み]せました,I showed the cooking process in photos; katei means process.
家族[かぞく]で弟[おとうと]の試合[しあい]を応援[おうえん]しました,our family cheered for my brother match; oen suru means to cheer.
子供[こども]の頃[ころ]の記憶[きおく]はまだ残[のこ]っています,memories of childhood still remain; kioku means memory.
事故[じこ]の後[あと]で少[すこ]しずつ意識[いしき]が戻[もど]りました,consciousness returned little by little after the accident; ishiki means awareness.
この古[ふる]い絵[え]には高[たか]い価値[かち]があります,this old painting has high value; kachi means value.
弟[おとうと]の学校[がっこう]が大会[たいかい]で優勝[ゆうしょう]しました,my brother school won the tournament; yusho suru means to win a championship.
あの若[わか]い歌手[かしゅ]は今[いま]とても人気[にんき]です,that young singer is very popular now; kashu means singer.
この交差点[こうさてん]は事故[じこ]が多[おお]いので気[き]をつけます,I am careful because this crossing has many accidents; kosaten means intersection.
大[おお]きな都市[とし]では家[いえ]の値段[ねだん]が高[たか]いです,house prices are high in big cities; toshi means city.
昼[ひる]はいつも会社[かいしゃ]の食堂[しょくどう]で食[た]べます,at noon I always eat in the company cafeteria; shokudo means dining hall.
この地域[ちいき]の産業[さんぎょう]は魚[さかな]と米[こめ]です,the industries of this area are fish and rice; sangyo means industry.
二[ふた]つの国[くに]の貿易[ぼうえき]が増[ふ]えています,trade between the two countries is growing; boeki means trade.
日本[にほん]は車[くるま]を多[おお]くの国[くに]に輸出[ゆしゅつ]します,Japan exports cars to many countries; yushutsu suru means to export.
この店[みせ]は外国[がいこく]から果物[くだもの]を輸入[ゆにゅう]しています,this shop imports fruit from abroad; yunyu suru means to import.
電車[でんしゃ]の窓[まど]の近[ちか]くの座席[ざせき]に座[すわ]りました,I sat in a seat near the train window; zaseki means seat.
この国[くに]は資源[しげん]が少[すく]ないと言[い]われています,this country is said to have few resources; shigen means resource.
車[くるま]の燃料[ねんりょう]の値段[ねだん]が上[あ]がりました,the price of car fuel went up; nenryo means fuel.
京都[きょうと]は観光[かんこう]で有名[ゆうめい]な町[まち]です,Kyoto is a town famous for tourism; kanko means sightseeing.
この地図[ちず]に町[まち]の名所[めいしょ]が書[か]いてあります,the town famous spots are written on this map; meisho means noted place.
山[やま]の近[ちか]くで安[やす]い宿[やど]を探[さが]しました,I looked for a cheap inn near the mountain; yado means lodging.
会議[かいぎ]の後[あと]で次[つぎ]の部屋[へや]に移動[いどう]します,we move to the next room after the meeting; ido suru means to move.
明日[あした]の朝[あさ]六時[ろくじ]に駅[えき]を出発[しゅっぱつ]します,we depart from the station at six tomorrow morning; shuppatsu suru means to depart.
飛行機[ひこうき]は夜[よる]九時[くじ]に到着[とうちゃく]しました,the plane arrived at nine at night; tochaku suru means to arrive.
朝[あさ]の電車[でんしゃ]は乗客[じょうきゃく]がとても多[おお]いです,the morning train has very many passengers; jokyaku means passenger.
静[しず]かな郊外[こうがい]に引[ひ]っ越[こ]しました,I moved to a quiet suburb; kogai means suburbs.
この地域[ちいき]の気候[きこう]は一年[いちねん]中[じゅう]暖[あたた]かいです,the climate of this area is warm all year; kiko means climate.
この国[くに]では災害[さいがい]が多[おお]いので準備[じゅんび]が必要[ひつよう]です,disasters are common here so preparation is needed; saigai means disaster.
昨日[きのう]の夜[よる]に強[つよ]い地震[じしん]がありました,there was a strong earthquake last night; jishin means earthquake.
一番[いちばん]前[まえ]の車両[しゃりょう]は今[いま]空[す]いています,the front car of the train is not crowded now; sharyo means railway car.
新[あたら]しい装置[そうち]を部屋[へや]の中[なか]に置[お]きました,we put the new device inside the room; sochi means apparatus.
電話[でんわ]の画面[がめん]が急[きゅう]に暗[くら]くなりました,the phone screen suddenly went dark; gamen means screen.
山[やま]の中[なか]では通信[つうしん]が難[むずか]しいです,communication is difficult in the mountains; tsushin means communication.
会社[かいしゃ]から小[ちい]さい端末[たんまつ]を借[か]りました,I borrowed a small terminal from the company; tanmatsu means device terminal.
この路線[ろせん]は海[うみ]の近[ちか]くを長[なが]く走[はし]ります,this line runs a long way near the sea; rosen means route.
朝[あさ]の道[みち]は渋滞[じゅうたい]がひどいので早[はや]く出[で]ます,I leave early because morning roads have bad jams; jutai means traffic congestion.
記者[きしゃ]が社長[しゃちょう]に難[むずか]しい質問[しつもん]をしました,a reporter asked the president a hard question; kisha means journalist.
この便利[べんり]な道具[どうぐ]は百年[ひゃくねん]前[まえ]に発明[はつめい]されました,this useful tool was invented a hundred years ago; hatsumei suru means to invent.
若[わか]い人[ひと]がこの建物[たてもの]を設計[せっけい]しました,a young person designed this building; sekkei suru means to design.
大学[だいがく]で新[あたら]しい薬[くすり]の実験[じっけん]をしています,they are doing experiments on a new medicine at the university; jikken means experiment.
先生[せんせい]は長[なが]い論文[ろんぶん]を書[か]いています,the teacher is writing a long paper; ronbun means academic paper.
この表[ひょう]の数字[すうじ]をもう一度[いちど]確認[かくにん]します,I will check the numbers in this table again; suji means figure.
女[おんな]の学生[がくせい]の割合[わりあい]が増[ふ]えました,the proportion of female students has grown; wariai means ratio.
この町[まち]には芸術[げいじゅつ]が好[す]きな人[ひと]が多[おお]いです,many people in this town love art; geijutsu means art.
有名[ゆうめい]な作家[さっか]の作品[さくひん]を読[よ]みました,I read a work by a famous writer; sakuhin means artistic work.
この小説[しょうせつ]は若[わか]い人[ひと]に人気[にんき]があります,this novel is popular with young people; shosetsu means novel.
大学[だいがく]で日本[にほん]の文学[ぶんがく]を習[なら]いました,I studied Japanese literature at university; bungaku means literature.
来月[らいげつ]の音楽会[おんがくかい]の切符[きっぷ]を買[か]いました,I bought a ticket for next month concert; ongakukai means concert.
夏[なつ]になると町[まち]で大[おお]きな祭[まつ]りがあります,when summer comes there is a big festival in town; matsuri means festival.
古[ふる]い神社[じんじゃ]の前[まえ]で写真[しゃしん]を撮[と]りました,I took a photo in front of an old shrine; jinja means shrine.
世界[せかい]にはいろいろな宗教[しゅうきょう]があります,there are various religions in the world; shukyo means religion.
大学[だいがく]で演劇[えんげき]を習[なら]っている友達[ともだち]がいます,I have a friend who studies drama at university; engeki means theater.
春[はる]に山[やま]の古[ふる]い神社[じんじゃ]を訪[おとず]れました,I visited an old mountain shrine in spring; otozureru means to visit.
この値段[ねだん]は食事[しょくじ]の費用[ひよう]を含[ふく]むそうです,this price apparently includes the cost of meals; fukumu means to include.
この数字[すうじ]は良[よ]い傾向[けいこう]を示[しめ]すでしょう,these figures will show a good tendency; shimesu means to indicate.
この漢字[かんじ]は水[みず]の様子[ようす]を表[あらわ]すそうです,this kanji apparently represents the look of water; arawasu means to express.
客[きゃく]は安[やす]くて良[よ]い品物[しなもの]を求[もと]めています,customers want cheap and good goods; motomeru means to seek.
会議[かいぎ]で自分[じぶん]の意見[いけん]を短[みじか]く述[の]べました,I stated my opinion briefly at the meeting; noberu means to state.
この店[みせ]は外国[がいこく]の品物[しなもの]を扱[あつか]うそうです,this shop apparently handles foreign goods; atsukau means to deal with.
家族[かぞく]が私[わたし]の生活[せいかつ]を支[ささ]えています,my family supports my life; sasaeru means to support.
庭[にわ]で小[ちい]さい木[き]を育[そだ]てています,I am growing a small tree in the garden; sodateru means to raise.
この装置[そうち]は事故[じこ]を防[ふせ]ぐために使[つか]われます,this device is used to prevent accidents; fusegu means to prevent.
朝[あさ]は道[みち]が混[こ]むので車[くるま]を避[さ]けます,I avoid the car in the morning because roads are crowded; sakeru means to avoid.
難[むずか]しい問題[もんだい]に毎日[まいにち]取[と]り組[く]んでいます,I work on a difficult problem every day; torikumu means to tackle.
彼[かれ]は医者[いしゃ]になることを目指[めざ]しています,he is aiming to become a doctor; mezasu means to aim for.
歌[うた]が終[お]わると皆[みな]が大[おお]きな拍手[はくしゅ]をしました,everyone applauded loudly when the song ended; hakushu means applause.
約束[やくそく]の時間[じかん]がもう過[す]ぎました,the promised time has already passed; sugiru means to pass.
地震[じしん]の影響[えいきょう]は広[ひろ]い地域[ちいき]に及[およ]ぶでしょう,the effect of the earthquake will reach a wide area; oyobu means to extend to.
大切[たいせつ]な写真[しゃしん]を機械[きかい]の中[なか]に保存[ほぞん]しました,I saved important photos inside the machine; hozon suru means to preserve.
古[ふる]い電話[でんわ]を新[あたら]しい物[もの]と交換[こうかん]しました,I exchanged the old phone for a new one; kokan suru means to exchange.
この分野[ぶんや]の研究[けんきゅう]は世界[せかい]中[じゅう]で進[すす]んでいます,research in this field advances all over the world; bunya means field.
父[ちち]は古[ふる]い絵画[かいが]を集[あつ]めています,my father collects old paintings; kaiga means painting.
公園[こうえん]の中[なか]に石[いし]の大[おお]きな彫刻[ちょうこく]があります,there is a big stone sculpture in the park; chokoku means sculpture.
学校[がっこう]で学生[がくせい]の作品[さくひん]を展示[てんじ]しています,the school is exhibiting student works; tenji suru means to exhibit.
この本[ほん]の著者[ちょしゃ]は有名[ゆうめい]な先生[せんせい]です,the author of this book is a famous teacher; chosha means author.
この小説[しょうせつ]は若[わか]い読者[どくしゃ]がとても多[おお]いです,this novel has very many young readers; dokusha means reader.
駅[えき]の近[ちか]くの書店[しょてん]で小説[しょうせつ]を買[か]いました,I bought a novel at the bookstore near the station; shoten means bookstore.
この本[ほん]の表紙[ひょうし]の色[いろ]はとても美[うつく]しいです,the cover color of this book is very beautiful; hyoshi means cover.
祭[まつ]りの日[ひ]は道[みち]に屋台[やたい]が並[なら]びます,stalls line the street on festival days; yatai means street stall.
旅行[りょこう]の団体[だんたい]が駅[えき]の前[まえ]に集[あつ]まりました,a travel group gathered in front of the station; dantai means group.
この会議[かいぎ]での私[わたし]の役割[やくわり]を教[おし]えてください,please tell me my role in this meeting; yakuwari means role.
この店[みせ]のお茶[ちゃ]は香[かお]りがとても良[よ]いです,the tea at this shop has a very good aroma; kaori means fragrance.
この店[みせ]は野菜[やさい]を蒸[む]す料理[りょうり]で有名[ゆうめい]です,this shop is famous for dishes that steam vegetables; musu means to steam.
肉[にく]と野菜[やさい]を一緒[いっしょ]に煮[に]る料理[りょうり]が好[す]きです,I like dishes that simmer meat and vegetables together; niru means to simmer.
これは会社[かいしゃ]ではなく個人[こじん]の意見[いけん]です,this is a personal opinion not the company one; kojin means individual.
学生[がくせい]の集団[しゅうだん]が公園[こうえん]を歩[ある]いています,a group of students is walking in the park; shudan means crowd.
国民[こくみん]の多[おお]くが新[あたら]しい制度[せいど]に反対[はんたい]しました,many citizens opposed the new system; kokumin means the people.
冬[ふゆ]は大[おお]きな鍋[なべ]で家族[かぞく]の料理[りょうり]を作[つく]ります,in winter we cook family meals in a big pot; nabe means pot.
この建物[たてもの]の住民[じゅうみん]は皆[みな]静[しず]かです,the residents of this building are all quiet; jumin means resident.
地方[ちほう]では電車[でんしゃ]の数[かず]が少[すく]ないです,there are few trains in the countryside; chiho means rural region.
その国[くに]の首都[しゅと]は海[うみ]の近[ちか]くにあります,that country capital is near the sea; shuto means capital city.
小[ちい]さい島[しま]まで船[ふね]で行[い]きました,we went to a small island by boat; shima means island.
庭[にわ]の草[くさ]が夏[なつ]の間[あいだ]に高[たか]くなりました,the grass in the garden grew tall during the summer; kusa means grass.
山[やま]の上[うえ]に静[しず]かな湖[みずうみ]があります,there is a quiet lake on the mountain; mizuumi means lake.
朝[あさ]の海岸[かいがん]を長[なが]い時間[じかん]歩[ある]きました,I walked the morning coast for a long time; kaigan means coast.
子供[こども]が海岸[かいがん]の砂[すな]で遊[あそ]んでいます,children are playing in the sand on the coast; suna means sand.
川[かわ]の中[なか]に大[おお]きな岩[いわ]が見[み]えます,a big rock is visible in the river; iwa means rock.
秋[あき]になると木[き]の葉[は]の色[いろ]が変[か]わります,tree leaves change color when autumn comes; ha means leaf.
冬[ふゆ]は太陽[たいよう]が出[で]る時間[じかん]が短[みじか]いです,in winter the sun is out for a short time; taiyo means sun.
宇宙[うちゅう]についての番組[ばんぐみ]を見[み]ました,I watched a program about space; uchu means universe.
山[やま]の上[うえ]の空気[くうき]はとても冷[つめ]たいです,the air on the mountain is very cold; kuki means air.
部屋[へや]の温度[おんど]を少[すこ]し下[さ]げてください,please lower the room temperature a little; ondo means temperature.
夏[なつ]の日本[にほん]は湿度[しつど]が高[たか]いです,humidity is high in Japan in summer; shitsudo means humidity.
大[おお]きな台風[たいふう]が島[しま]に近[ちか]づいています,a big typhoon is approaching the island; taifu means typhoon.
地震[じしん]の後[あと]で津波[つなみ]の心配[しんぱい]がありました,there was worry about a tsunami after the earthquake; tsunami means tidal wave.
台風[たいふう]の被害[ひがい]は思[おも]ったより小[ちい]さかったです,the typhoon damage was smaller than expected; higai means damage.
強[つよ]い風[かぜ]で庭[にわ]の木[き]の枝[えだ]が折[お]れました,a garden tree branch broke in the strong wind; eda means branch.
この古[ふる]い木[き]の根[ね]はとても深[ふか]いところにあります,the roots of this old tree are very deep; ne means root.
会社[かいしゃ]は事故[じこ]の対策[たいさく]を考[かんが]えています,the company is thinking about accident countermeasures; taisaku means countermeasure.
手[て]をよく洗[あら]って病気[びょうき]を予防[よぼう]します,we wash our hands well to prevent illness; yobo suru means to prevent.
医者[いしゃ]は新[あたら]しい薬[くすり]で子供[こども]を治療[ちりょう]しました,the doctor treated the child with a new medicine; chiryo suru means to treat.
この病院[びょういん]は患者[かんじゃ]がとても多[おお]いです,this hospital has very many patients; kanja means patient.
この国[くに]の医療[いりょう]の制度[せいど]は良[よ]いと思[おも]います,I think this country medical system is good; iryo means medical care.
野菜[やさい]には体[からだ]に良[よ]い栄養[えいよう]があります,vegetables have nutrition that is good for the body; eiyo means nutrition.
災害[さいがい]の時[とき]のために食料[しょくりょう]を用意[ようい]しました,I prepared food supplies for a disaster; shokuryo means provisions.
この地方[ちほう]では農業[のうぎょう]をする人[ひと]が減[へ]っています,the number of farmers in this region is falling; nogyo means agriculture.
この島[しま]の人[ひと]たちは漁業[ぎょぎょう]で生活[せいかつ]しています,the people of this island live by fishing; gyogyo means fishing industry.
川[かわ]の近[ちか]くに大[おお]きな工場[こうじょう]ができました,a big factory was built near the river; kojo means factory.
この会社[かいしゃ]の製品[せいひん]は外国[がいこく]でも人気[にんき]です,this company products are popular abroad too; seihin means product.
この店[みせ]の品物[しなもの]は品質[ひんしつ]が良[よ]いです,the goods in this shop are of good quality; hinshitsu means quality.
この工場[こうじょう]では毎日[まいにち]千[せん]個[こ]生産[せいさん]しています,this factory produces a thousand units a day; seisan suru means to produce.
夏[なつ]は電気[でんき]をたくさん消費[しょうひ]します,we consume a lot of electricity in summer; shohi suru means to consume.
新[あたら]しい製品[せいひん]を来月[らいげつ]から販売[はんばい]します,we will sell the new product from next month; hanbai suru means to sell.
外国[がいこく]の市場[しじょう]で製品[せいひん]がよく売[う]れています,the products sell well in foreign markets; shijo means market.
この機械[きかい]の価格[かかく]は思[おも]ったより安[やす]いです,the price of this machine is cheaper than expected; kakaku means price.
春[はる]に庭[にわ]で花[はな]の種[たね]をまきました,in spring I sowed flower seeds in the garden; tane means seed.
雨[あめ]が止[や]んだ後[あと]に空[そら]に虹[にじ]が出[で]ました,a rainbow appeared in the sky after the rain stopped; niji means rainbow.
若[わか]い人[ひと]が新[あたら]しい会社[かいしゃ]に投資[とうし]しています,young people are investing in new companies; toshi suru means to invest.
父[ちち]は大[おお]きな会社[かいしゃ]の株[かぶ]を買[か]いました,my father bought shares in a big company; kabu means stock.
朝[あさ]の山[やま]は霧[きり]で何[なに]も見[み]えませんでした,the morning mountain showed nothing because of fog; kiri means fog.
山[やま]と山[やま]の間[あいだ]の谷[たに]に川[かわ]が流[なが]れています,a river runs in the valley between the mountains; tani means valley.
小[ちい]さい丘[おか]の上[うえ]から町[まち]がよく見[み]えます,the town is clearly visible from the small hill; oka means hill.
長[なが]い労働[ろうどう]の時間[じかん]は体[からだ]に悪[わる]いです,long working hours are bad for the body; rodo means labor.
この島[しま]の火山[かざん]は百年[ひゃくねん]前[まえ]から静[しず]かです,the volcano on this island has been quiet for a hundred years; kazan means volcano.
この国[くに]の南[みなみ]には広[ひろ]い砂漠[さばく]があります,there is a wide desert in the south of this country; sabaku means desert.
夏[なつ]の休[やす]みにこの半島[はんとう]まで車[くるま]で行[い]きました,we drove to this peninsula during the summer holiday; hanto means peninsula.
新[あたら]しい人[ひと]を一週間[いっしゅうかん]訓練[くんれん]しました,we trained the new people for a week; kunren suru means to train.
先生[せんせい]が学生[がくせい]の研究[けんきゅう]を指導[しどう]しています,the teacher is guiding the student research; shido suru means to instruct.
窓[まど]から遠[とお]い山[やま]をしばらく眺[なが]めました,I gazed at the distant mountains from the window for a while; nagameru means to gaze.
大学[だいがく]の朝[あさ]の講義[こうぎ]は九時[くじ]に始[はじ]まります,the morning university lecture starts at nine; kogi means lecture.
弟[おとうと]の成績[せいせき]が去年[きょねん]より良[よ]くなりました,my brother grades improved from last year; seiseki means grades.
