es,en
**Es** para mí,"It's for me; ser in the present, for he/she/it — this is what it is, not how it happens to be right now."
Hay un **baile** esta noche,There is a dance tonight; Masculine noun for a dance or a formal ball.
Mi padre **trabaja** aquí,"My father works here; trabajar in the present, for he/she/it — he or she works."
La **misión** ha terminado,The mission is over; Feminine noun like almost every noun ending in ion with plural misiones.
Está a la **izquierda**,It is on the left; Feminine noun for the left side and for the political left.
¿Quieres **beber** algo?,"Do you want something to drink?; the plain form of beber, to drink something."
**Deje** el arma en el suelo,Put the weapon on the ground; dejar as a polite command to one person — leave it or put it down.
Te **daré** una respuesta,"I will give you an answer; dar in the future, for I — I will give."
¿**Sabías** eso?,"Did you know that?; saber in the past, for you (tú) — you knew it back then, over a stretch of time."
Cuando **puedas** llámame,"Call me when you can; poder in the subjunctive (after wishes, doubt, hopes), for you (tú) — needed after cuando when talking about the future."
**Puso** el dinero ahí,"He put the money there; poner in the past, for he/she/it — an odd form, puso not ponió."
**Creía** en ti,"He believed in you; creer in the past, for he/she/it — he believed it back then, over a stretch of time."
¿Cuándo vas a **regresar**?,"When are you coming back?; the plain form of regresar, to go back or return to a place."
El tren **llega** tarde,"The train is arriving late; llegar in the present, for he/she/it — to arrive."
No puedo **entender** nada,"I can't understand a thing; the plain form of entender, to understand or grasp a meaning."
¿Quieres **mirar** la foto?,"Do you want to look at the photo?; the plain form of mirar, to look at something on purpose."
Voy a **sacar** el coche,"I'm going to get the car out; the plain form of sacar, to take or get something out."
Has **cambiado** mucho,"You've changed a lot; past participle of cambiar (the -ed form, pairs with haber), meaning changed."
¿Quién **trae** la cena?,"Who's bringing dinner?; traer in the present, for he/she/it — to bring something here."
En mi **opinión** es tarde,In my opinion it's late; Feminine noun for an opinion or view with plural opiniones.
**Verás** que todo sale bien,"You'll see that it all works out; ver in the future, for you (tú) — you will see."
Espera dos **segundos**,Hold on two seconds; Masculine noun in the plural for seconds of time.
Una **cerveza** por favor,One beer please; Feminine noun for beer.
Si **estuviera** aquí,"If he were here; estar in the past subjunctive, for he/she/it — used for unreal situations."
Ellos no me **creen**,"They don't believe me; creer in the present, for they — to believe someone."
¿Puedes **oír** eso?,"Can you hear that?; the plain form of oír, to hear a sound that reaches you."
**Tendría** que hablar contigo,"I'd have to talk with you; tener in the would-form, for I or he/she/it — would have."
No hemos **hablado** hoy,"We haven't talked today; past participle of hablar (the -ed form, pairs with haber), meaning talked."
**Hablamos** mañana,"We'll talk tomorrow; hablar in the present, for we — here it covers the near future."
La **reina** está aquí,The queen is here; Feminine noun for a queen and also the chess queen.
Ese **tema** me importa,That subject matters to me; Masculine noun despite the -a ending meaning a subject or topic.
Pasó dos años en **prisión**,He spent two years in prison; Feminine noun for prison with plural prisiones.
Nadie sabe el **porqué**,Nobody knows the reason why; Masculine noun for the reason why with plural porqués.
Espero que **vuelva** pronto,"I hope he comes back soon; volver in the subjunctive (after wishes, doubt, hopes), for he/she/it — to come back."
El **público** está esperando,The audience is waiting; Masculine noun for the audience or the general public.
¿Qué **ocurrió** aquí?,"What happened here?; ocurrir in the past, for he/she/it — to happen, and it's over."
Tenemos que **salvar** al niño,"We have to save the boy; the plain form of salvar, to save someone from danger."
Vamos a ver el **partido**,Let's go watch the match; Masculine noun for a sports match or a political party.
Murió a **causa** del frío,"He died because of the cold; Feminine noun for a cause, and a causa de means because of."
El **sargento** no está aquí,"The sergeant isn't here; Masculine noun for a sergeant, staying la sargento for a woman."
¿Quieres **cenar** conmigo?,"Do you want to have dinner with me?; the plain form of cenar, to eat dinner."
Es mi **compañero** de trabajo,"He's my coworker; Masculine noun for a companion, colleague, teammate or classmate."
Se **llevó** mi coche,"He took my car; llevar in the past, for he/she/it — to take something away, and it's over."
No **existe** otra forma,"There's no other way; existir in the present, for he/she/it — to exist."
No conozco esta **zona**,I don't know this area; Feminine noun for an area or district.
Fue su **destino**,"It was his fate; Masculine noun for fate, and also a journey's destination."
La **base** del problema,The root of the problem; Feminine noun despite the -e ending meaning a base or foundation.
**Solía** jugar aquí,"He used to play here; soler in the past, for he/she/it — to do something habitually back then, over a stretch of time."
El **cliente** siempre tiene razón,The customer is always right; Noun with one form for both genders meaning customer or client.
Mañana tengo un **encuentro**,I have a meeting tomorrow; Masculine noun for a meeting or a chance run-in.
Nadie **encontró** el dinero,"Nobody found the money; encontrar in the past, for he/she/it — to find, and it's over."
No quiero una **pelea**,I don't want a fight; Feminine noun for a fight or quarrel.
Vamos hacia el **norte**,We're heading north; Masculine noun for the north.
Nunca **quise** eso,"I never wanted that; querer in the past, for I — often means refused in the negative."
El **coronel** dio la orden,"The colonel gave the order; Masculine noun for a colonel, staying la coronel for a woman."
**Apuesto** que no lo sabías,"I bet you didn't know; apostar in the present, for I — to bet."
¿**Vienes** con nosotros?,"Are you coming with us?; venir in the present, for you (tú) — to come toward the speaker."
**Necesitan** ayuda,"They need help; necesitar in the present, for they — to need."
El **té** está frío,The tea is cold; Masculine noun for tea with plural tés.
El **juicio** fue largo,The trial was long; Masculine noun for a trial and also judgement or sanity.
Espero que **podamos** ir,"I hope we can go; poder in the subjunctive (after wishes, doubt, hopes), for we — to be able."
¿Dónde está mi **llave**?,Where's my key?; Feminine noun for a key and also a tap in Latin America.
Estás **equivocado**,"You're wrong; past participle of equivocarse, used with estar for being mistaken, and the ending shifts for masculine or feminine."
¿Cuál es su **posición**?,What's your position?; Feminine noun for a physical location or a stance or a job rank.
Tengo dolor de **espalda**,My back hurts; Feminine noun for a person's back while respaldo is the back of a chair.
Fue todo un **éxito**,It was a real success; Masculine noun meaning success and tener éxito is how you say to succeed.
De todos **modos** voy,I'm going anyway; Plural of the masculine modo and de todos modos is a fixed phrase meaning anyway.
Abre la **ventana**,Open the window; Feminine noun for a window in a wall while a shop window is escaparate.
**Veamos** qué pasa,"Let's see what happens; ver in the subjunctive (after wishes, doubt, hopes), for we — works as a soft let's see."
Es una **especie** de broma,It's some kind of joke; Feminine noun for a sort or kind and also a biological species.
No **teníamos** dinero,"We didn't have any money; tener in the past, for we — to have, and we had it over a stretch of time back then."
No hay **diferencia**,There's no difference; Feminine noun for a difference and da igual covers it makes no difference.
Hay muchas **formas**,There are many ways; Plural of the feminine forma meaning ways or methods here rather than shapes.
Quiero **pedir** un favor,"I want to ask a favor; the plain form of pedir, to ask for something, and the stem shifts in pido and pide."
Dame un **ejemplo**,Give me an example; Masculine noun for an example and por ejemplo means for example.
Escucha la **radio**,Listen to the radio; Feminine noun for the radio though el radio means a radius.
Hay que mantener la **calma**,We have to stay calm; Feminine noun for calm and calmarse is the reflexive verb to calm down.
No hay lugar como el **hogar**,There's no place like home; Masculine noun for the home as household or hearth rather than the building.
**Volveré** mañana,"I'll be back tomorrow; volver in the future, for I — to come back or return."
Está en el **fondo** del mar,It's at the bottom of the sea; Masculine noun for the bottom or back and en el fondo means deep down.
**Iremos** en tren,"We'll go by train; ir in the future, for we — we will go."
Ya se **habían** ido,"They had already left; haber in the past, for they — pairs with a past participle to say had already done something."
No es de este **planeta**,It's not from this planet; Masculine noun for a planet despite the -a ending like problema and tema.
Con **respecto** a eso,Regarding that; Masculine noun living in con respecto a meaning regarding or about.
Espero tu **regreso**,I await your return; Masculine noun for a return and estar de regreso means to be back.
**Debido** al mal tiempo,"Due to the bad weather; past participle of deber, fixed in debido a meaning because of."
**Seré** tu amigo,"I'll be your friend; ser in the future, for I — this is what it is, not how it happens to be right now."
Ellos **tenían** razón,"They were right; tener in the past, for they — that's how it was back then, and tener razón means to be right."
Quiero **leer** ese libro,"I want to read that book; the plain form of leer, to read, with the odd past form leyó."
No puedo **parar**,"I can't stop; the plain form of parar, to stop motion or activity, and parada is a bus stop."
**Dejé** la llave aquí,"I left the key here; dejar in the past, for I — it happened, it's over, and it means to leave an object behind."
Te tengo mucho **respeto**,I have a lot of respect for you; Masculine noun for respect used as tener respeto a alguien.
Voy a **escribir** una carta,"I'm going to write a letter; the plain form of escribir, to write, with the odd past participle escrito."
Nos vemos en la **estación**,See you at the station; Feminine noun for a station and also a season of the year.
Ella me **pidió** ayuda,"She asked me for help; pedir in the past, for he/she/it — it happened, it's over, and it means asked for."
No tengo ninguna **pista**,I don't have a single clue; Feminine noun for a clue or lead and also a track or runway.
Eres una **estrella**,You're a star; Feminine noun for a star in the sky or a celebrity.
Mi hijo está **enfermo**,My son is sick; Masculine noun for a sick person and as adjective it takes estar.
Me **duele** la cabeza,"My head hurts; doler in the present, for he/she/it — it works like gustar, with the body part as the subject."
No creo en los **sueños**,I don't believe in dreams; Plural of the masculine sueño which means both dreams and sleep.
Ya lo **veremos**,"We'll see about that; ver in the future, for we — often a polite way to signal doubt."
Son **órdenes** del capitán,Those are the captain's orders; Plural of orden feminine for commands while masculine el orden is tidiness.
Estoy muy **ocupado** ahora,"I'm very busy right now; past participle of ocupar, used with estar for a busy person or a taken seat."
**Corre** que viene la policía,"Run, the police are coming; correr in the present, for he/she/it — also works as a command to one person (tú) to run."
No he **podido** dormir,"I haven't been able to sleep; past participle of poder, pairs with haber to say have been able."
No me **dejes** aquí,"Don't leave me here; dejar in the subjunctive, for you (tú) — after no it makes a negative command, no dejes."
Es otro **nivel**,It's another level; Masculine noun for a level with the plural niveles.
¿**Habéis** visto a mi hermano?,"Have you all seen my brother?; haber in the present, for you all (vosotros, Spain only) — Latin America says han."
Necesitamos alguien con **experiencia**,We need someone with experience; Feminine noun for know-how and also a single episode you lived through.
¿Dónde está la **salida**?,Where's the exit?; Feminine noun from salir for an exit or a departure.
Puedes **confiar** en mí,"You can trust me; the plain form of confiar, to trust, and it takes en before the person trusted."
Eso era lo que **necesitaba**,"That was what I needed; necesitar in the past, for I or he/she/it — the form is the same, so context tells you who."
Tú y yo somos **hermanos**,You and I are brothers; Masculine plural noun meaning brothers or siblings of mixed sex.
¿Dónde están mis **zapatos**?,Where are my shoes?; Masculine plural noun for footwear worn as a pair.
¿De qué **color** es?,What colour is it?; Masculine noun for a colour or shade.
Sólo un **vistazo**,"Just a quick look; Masculine noun for a quick glance, usually in echar un vistazo."
Voy a **tratar**,"I am going to try; the plain form of tratar, to try with de or to treat someone."
A mi **parecer** es tarde,"In my view it is late; Masculine noun for an opinion, as in a mi parecer."
El **juez** no está,"The judge is not in; Masculine noun for a judge, plural jueces."
El **paciente** no habla,"The patient is not talking; Noun for a patient, the same word for a man or a woman with only el or la changing."
Espero que lo **hayas** visto,"I hope you have seen it; haber in the subjunctive (after wishes, doubt, hopes), for you (tú) — pairs with a past participle: have seen."
¿Tienes una **bolsa**?,Do you have a bag?; Feminine noun for a bag or the stock exchange when capitalised.
Esto no es **arte**,"This is not art; Masculine noun for art, though feminine in the plural artes."
Los niños están **jugando**,"The kids are playing; jugar in the -ing form, playing a game or sport."
¿Cuánto tiempo **llevas** aquí?,"How long have you been here?; llevar in the present, for you (tú) — to carry, or to have spent time somewhere."
Me **alegra** verte,"I am glad to see you; alegrar in the present, for he/she/it — to make someone glad."
¿Quieres **bailar** conmigo?,"Do you want to dance with me?; the plain form of bailar, to dance, with con for a partner."
El **diablo** existe,"The devil exists; Masculine noun for the devil, also an exclamation in qué diablos."
No **oí** nada,"I did not hear anything; oír in the past, for I — to hear something, it happened, it's over."
No creo que **sepa** nada,"I do not think he knows anything; saber in the subjunctive (after wishes, doubt, hopes), for he/she/it or you (polite, usted) — to know something."
Vamos al **sur**,"We are heading south; Masculine noun for the south, taking al for direction."
La **banda** ya llegó,The band has arrived; Feminine noun for a musical band or a criminal gang.
Quiero **aprender** a bailar,"I want to learn to dance; the plain form of aprender, to learn, with a before another verb."
¿Cuál es el **precio**?,What is the price?; Masculine noun for a price or cost.
No tengo **ganas**,"I do not feel like it; Feminine plural noun for desire, as in tener ganas de doing something."
**Tuvimos** un problema,"We had a problem; tener in the past, for we — to have or hold, it happened, it's over."
**Volvió** a casa anoche,"She came back home last night; volver in the past, for he/she/it — to return or come back, it happened, it's over."
Estos son mis **libros**,These are my books; Masculine plural noun for books.
Me duele un **ojo**,"One of my eyes hurts; Masculine noun for an eye, and on its own a warning to look out."
**Serán** las tres,"It must be about three; ser in the future, for they — also a guess at the time."
¡**Cielos**! ¿Qué pasó?,"Good heavens! What happened?; Masculine plural of cielo for sky or heaven, here an exclamation."
No he **matado** a nadie,"I have not killed anyone; past participle of matar (the -ed form, pairs with haber), to kill."
A sus órdenes **comandante**,"At your orders commander; Noun for a commander or an airline captain, the same for a man or a woman."
Necesitamos **acción**,We need action; Feminine noun for action or a share in finance.
Esas son las **reglas**,"Those are the rules; Feminine plural noun for rules, also rulers for drawing."
Es una **obra** de arte,"It is a work of art; Feminine noun for a created work, a play, or a building site."
Hay **esperanza** todavía,There is still hope; Feminine noun for hope formed from the verb esperar.
Es **cuestión** de tiempo,"It is a matter of time; Feminine noun for a matter or issue, not a question you ask."
No me **molesta**,"It does not bother me; molestar in the present, for he/she/it — to bother someone."
Estamos **teniendo** problemas,"We are having problems; tener in the -ing form, having, rare except with things like problems."
Necesito el **informe**,I need the report; Masculine noun for a report or written account.
El **río** está frío,The river is cold; Masculine noun for a river.
¿Puedes **abrir** la puerta?,"Can you open the door?; the plain form of abrir, to open, with the odd past participle abierto."
Prometo no **tocar** nada,"I promise not to touch anything; the plain form of tocar, to touch or to play an instrument."
Te voy a **contar** algo,"I am going to tell you something; the plain form of contar, to count or to tell a story."
**Sigo** aquí,"I am still here; seguir in the present, for I — to follow or to keep on."
Está en el **interior**,"It is inside; Masculine noun for the inside, as in ropa interior for underwear."
¿Es tu **apartamento**?,Is this your flat?; Masculine noun for a flat called piso in Spain.
Que no me **vea** nadie,"Let nobody see me; ver in the subjunctive (after wishes, doubt, hopes), for he/she/it — to see, and also a polite command."
¿Dónde **estáis**?,"Where are you all?; estar in the present, for you all (vosotros, Spain only) — to be somewhere or in some state."
No me **preocupa** el dinero,"Money does not worry me; preocupar in the present, for he/she/it — to worry someone."
**Tomó** mi mano,"He took my hand; tomar in the past, for he/she/it — to take or to drink, it happened, it's over."
La película **empieza** ahora,"The film starts now; empezar in the present, for he/she/it — to begin or start something."
Así **empezó** la guerra,"That is how the war began; empezar in the past, for he/she/it — it began or got started, and it's over."
Quiero que **vayan** a casa,"I want them to go home; ir in the subjunctive (after wishes, doubt, hopes), for they or you all (polite, ustedes) — to go."
**Llaman** a la puerta,"Someone is knocking; llamar in the present, for they — to call or phone or knock."
**Perdona** mi error,Sorry about my mistake; perdonar as a command to one person (tú) — a casual sorry or forgive me.
**Vuelvo** en dos minutos,"I will be back in two minutes; volver in the present, for I — to come back or return."
Fue un **golpe** de suerte,"It was a stroke of luck; Masculine noun for a blow or knock, and de golpe means suddenly."
He **acabado** mi trabajo,"I have finished my work; past participle of acabar (the -ed form, pairs with haber) — finished or run out."
Me gusta su **estilo**,I like his style; Masculine noun for a style or manner of doing something.
¿Podemos **quedar** mañana?,"Can we meet up tomorrow?; the plain form of quedar, to arrange to meet or to be left over."
Tengo dos **cartas** para ti,I have two letters for you; Feminine plural of carta covering posted letters and playing cards.
¡Hay una **bomba** aquí!,There is a bomb here!; Feminine noun for a bomb and also a pump for water.
Tiene una **pistola** en la mano,He has a gun in his hand; Feminine noun for a handgun or pistol.
Quiero **probar** la comida,"I want to taste the food; the plain form of probar, to taste, try out or prove."
Lo que diga su **majestad**,"Whatever your majesty says; Feminine noun for majesty, used as su majestad for a king or queen."
¿Puedes **traer** el café?,"Can you bring the coffee?; the plain form of traer, to bring something towards the speaker."
El coche está en **marcha**,The car is running; Feminine noun for motion or progress as in estar en marcha.
Mi **vuelo** sale a las dos,My flight leaves at two; Masculine noun for a flight or the act of flying.
Te dejé una **nota**,I left you a note; Feminine noun for a note and also a school grade.
**Estaremos** aquí mañana,"We will be here tomorrow; estar in the future, for we — to be somewhere or in some state."
No tiene ningún **valor**,It has no value at all; Masculine noun for worth or value and also courage.
¿Cuál es el **objetivo**?,What is the goal?; Masculine noun for an aim or target and also a camera lens.
De **repente** dijo algo,Suddenly he said something; Masculine noun that lives only inside the fixed phrase de repente meaning suddenly.
**Debía** dinero a mi jefe,"He owed my boss money; deber in the past, for he/she/it — owed or ought to, that's how it was back then, over a stretch of time."
¿Quién **irá** a la fiesta?,"Who will go to the party?; ir in the future, for he/she/it — he or she will go."
No tengo la **entrada**,I do not have the ticket; Feminine noun for an entrance or a ticket to a show.
No te **dejaré** solo,"I will not leave you alone; dejar in the future, for I — to leave behind or to allow."
Quiero **evitar** problemas,"I want to avoid trouble; the plain form of evitar, to avoid or prevent something."
Esta **máquina** no funciona,This machine is broken; Feminine noun for a machine as in una máquina de café.
Me duele el **cuello**,My neck hurts; Masculine noun for the neck and also a shirt collar.
**Conocí** a tu hermana ayer,"I met your sister yesterday; conocer in the past, for I — met someone for the first time, it happened, it's over."
Eran otros **tiempos**,Those were different times; Masculine plural of tiempo meaning times or eras.
Espero que **tome** el tren,"I hope he takes the train; tomar in the subjunctive (after wishes, doubt, hopes), for he/she/it or you (polite, usted) — to take."
Los **animales** tienen hambre,The animals are hungry; Masculine plural of animal taking the -es plural ending.
Si **tuviera** más tiempo,"If I had more time; tener in the past subjunctive (after wishes, doubt, hopes), for I or he/she/it — to have."
Vino con su **pareja**,"He came with his partner; Feminine noun for a partner or couple, and feminine even for a man."
Este **verano** iremos al mar,This summer we will go to the sea; Masculine noun for summer used as en verano without an article.
Algún día **serás** jefe,"One day you will be the boss; ser in the future, for you (tú) — you will be."
Eso es una **mentira**,That is a lie; Feminine noun for a lie or an untruth.
Quiero pagar con **tarjeta**,I want to pay by card; Feminine noun for a card whether a bank card or a greeting card.
Que **hagan** su trabajo,"Let them do their job; hacer in the subjunctive (after wishes, doubt, hopes), for they or you all (polite, ustedes) — to do or make."
**Perdí** mi teléfono ayer,"I lost my phone yesterday; perder in the past, for I — I lost it, it happened, it's over."
¿Quieres **correr** conmigo?,"Do you want to go running with me?; the plain form of correr, to run or to go running."
¿Quién ha **traído** esto?,"Who brought this?; past participle of traer (the -ed form, pairs with haber) — brought."
Cuando **llegue** mi padre,"When my father arrives; llegar in the subjunctive (after wishes, doubt, hopes), for he/she/it — to arrive, required after cuando."
Mi hermano **usa** mi ropa,"My brother wears my clothes; usar in the present, for he/she/it — to use or to wear clothes."
Voy a **intentar** algo,"I am going to try something; the plain form of intentar, to try or attempt something."
Estas **flores** son para ti,"These flowers are for you; Feminine plural of flor meaning flowers, and feminine despite the -or ending."
Me está **dando** miedo,"It is starting to scare me; dar in the -ing form, giving, as in dar miedo to frighten."
No tengo otra **opción**,"I have no other choice; Feminine noun for an option or choice, with plural opciones."
Estamos en una **isla**,We are on an island; Feminine noun for a piece of land surrounded by water.
**Cierra** la puerta por favor,Close the door please; cerrar as a command to one person (tú) — to close or shut.
Me encanta tu **piel**,I love your skin; Feminine noun for skin or for leather as a material.
Él no es mi **enemigo**,He is not my enemy; Masculine noun for an enemy with la enemiga used for a woman.
Te **dejo** el dinero aquí,"I am leaving the money here for you; dejar in the present, for I — to leave something behind or allow it."
Somos **jóvenes** todavía,We are still young; Plural of joven for young people working as noun or adjective.
¿Has **pedido** la comida?,"Have you ordered the food?; past participle of pedir (the -ed form, pairs with haber) — to ask for or order something."
Mi madre no **entiende** nada,"My mother does not understand anything; entender in the present, for he/she/it — to understand."
Quiero **justicia** para mi hijo,I want justice for my son; Feminine noun for justice or fairness.
Nadie me **despierta** por la mañana,"Nobody wakes me up in the morning; despertar in the present, for he/she/it — to wake someone up."
Sólo **pido** un poco de paz,"I am only asking for a little peace; pedir in the present, for I — to ask for or request something."
¡Qué **calor** hace aquí!,It is so hot in here!; Masculine noun for heat used in hace calor and tengo calor.
Las **luces** de la ciudad,The city lights; Feminine plural of luz for lights.
No me **refiero** a ti,"I am not talking about you; referirse in the present, for I — it takes a and means to refer to something."
Ayer **fuimos** a la fiesta,"Yesterday we went to the party; ir in the past, for we — it happened, it's over, and this same form comes from ser so context decides."
La **batalla** ha terminado,The battle is over; Feminine noun for a battle or one fight within a wider war.
Ella **intenta** ayudar,"She is trying to help; intentar in the present, for he/she/it — to try, followed directly by the plain form of a verb."
Me duele el **brazo**,My arm hurts; Masculine noun for arm normally taking el rather than a possessive.
Quiero que **salga** de mi casa,"I want him to leave my house; salir in the subjunctive (after wishes, doubt, hopes), for he/she/it — to go out or leave."
No puedo **recordar** su nombre,"I cannot remember his name; the plain form of recordar, to remember or to remind someone."
Tenemos que **escapar** de aquí,"We have to escape from here; the plain form of escapar, to escape, taking de before the place."
**Señores** hay un problema,Gentlemen there is a problem; Masculine plural of señor for gentlemen used to address a group politely.
Sólo **quedan** dos minutos,"Only two minutes are left; quedar in the present, for they — to remain or be left."
No siento mis **piernas**,I cannot feel my legs; Feminine plural of pierna for the legs of a person or animal.
Mañana tengo una **visita**,I have a visitor tomorrow; Feminine noun for a visit or for the visitor of either gender.
¿Qué estás **usando**?,What are you using?; usar as the -ing form — to use or make use of something.
Hemos **ganado** el juego,"We have won the game; past participle of ganar (the -ed form, pairs with haber) — to win or to earn money."
No hagas ningún **movimiento**,Do not make any movement; Masculine noun for a movement whether physical political or artistic.
A **pesar** de todo te quiero,In spite of everything I love you; Masculine noun inside the fixed phrase a pesar de meaning in spite of.
Estoy de **vacaciones**,I am on holiday; Feminine noun that is always plural for a holiday or vacation.
¿Quién ha **tomado** mi coche?,"Who has taken my car?; past participle of tomar (the -ed form, pairs with haber) — to take or to drink."
¿Dónde **habías** estado?,"Where had you been?; haber in the past, for you (tú) — it builds had plus a past participle."
¿Tienes **planes** para esta noche?,Do you have plans tonight?; Masculine plural of plan for plans or arrangements.
Vamos al **cine** esta noche,Let us go to the movies tonight; Masculine noun for the cinema as a building and as an art form.
Ahora te **toca** a ti,"Now it is your turn; tocar in the present, for he/she/it — to touch, to play music, or to be someone's turn."
No tengo **confianza** en él,I do not trust him; Feminine noun for trust or confidence in someone.
No recuerdo sus **nombres**,I do not remember their names; Masculine plural of nombre for names or first names.
**Esperen** aquí un momento,"Wait here a moment; esperar in the subjunctive (after wishes, doubt, hopes), used as a polite command to a group — to wait."
¿Dónde están mis **pantalones**?,Where are my trousers?; Masculine plural of pantalón for trousers normally plural for one garment.
Eso no es una **defensa**,That is not a defence; Feminine noun for a defence or for a male defender on a team.
La fiesta **terminó** temprano,"The party ended early; terminar in the past, for he/she/it — to end or finish, and it's done."
Ha **salido** de la casa,"He has left the house; past participle of salir (the -ed form, pairs with haber) — to go out or leave a place."
Siento mucha **presión**,I feel a lot of pressure; Feminine noun for pressure whether physical or emotional.
Tenemos un **testigo**,We have a witness; Masculine noun for a witness staying testigo for a woman with la.
**Deberían** llamar a la policía,"They should call the police; deber as the would-form, for they — should or ought to do something."
Lo he **olvidado** todo,"I have forgotten everything; past participle of olvidar (the -ed form, pairs with haber) — to forget something."
Los **soldados** están aquí,The soldiers are here; Masculine plural of soldado for soldiers including mixed groups.
**Resulta** que tenías razón,"It turns out you were right; resultar in the present, for he/she/it — to turn out or prove to be."
Todo **depende** de ti,"It all depends on you; depender in the present, for he/she/it — to depend, always taking de."
No hay ningún **motivo**,There is no reason; Masculine noun for a reason or grounds for doing something.
¿Puedes hablar **inglés**?,Can you speak English?; Masculine noun for the English language and also the adjective meaning English.
Está en el **estudio**,He's in the study; Masculine noun for a study room or a recording studio.
Esto tiene que **acabar**,"This has to end; the plain form of acabar, to finish or end something."
No entiendo mis **sentimientos**,I don't understand my feelings; Masculine plural of sentimiento meaning a feeling or an emotion.
¿Qué estás **tomando**?,"What are you drinking?; the -ing form of tomar, to take or to drink."
Me **dieron** el trabajo,"They gave me the job; dar in the past, for they — to give, it happened and it's over."
**Parecen** dos hermanos,"They look like brothers; parecer in the present, for they — to seem or look like."
¿Dónde están mis **llaves**?,Where are my keys?; Feminine plural of llave meaning a key or a faucet or a wrench.
Los **perros** están fuera,The dogs are outside; Masculine plural of perro meaning a dog and covering a mixed group.
¿Cuál es el **propósito**?,What's the purpose?; Masculine noun for a purpose and a propósito means on purpose or by the way.
¿Ya sabes la **noticia**?,Have you heard the news?; Feminine noun for one single piece of news with plural noticias for the news.
Vamos a **partir** ahora,"We're leaving now; the plain form of partir, to depart or to split something."
Está a diez **metros**,It's ten metres away; Masculine plural of metro meaning a metre and also the subway.
No hay **clientes** hoy,There are no customers today; Plural of cliente meaning a customer and taking el or la for either sex.
Nadie **podrá** entrar,"Nobody will be able to get in; poder in the future, for he/she/it — will be able to."
Esto es **ridículo**,This is ridiculous; Masculine noun and adjective meaning ridiculous and hacer el ridículo is to look foolish.
**Damas** y caballeros,Ladies and gentlemen; Feminine plural of dama meaning a formal lady and also the game of checkers.
La **operación** fue un éxito,The operation was a success; Feminine noun for an operation covering surgery and police or military action.
Mi hijo no **come** nada,"My son doesn't eat a thing; comer in the present, for he/she/it — to eat, and in Spain to have lunch."
Mi padre tiene una **empresa**,My father owns a business; Feminine noun for a company or a business venture.
Vamos al **laboratorio**,Let's go to the lab; Masculine noun for a laboratory.
Fue tu **elección**,It was your choice; Feminine noun for a choice with plural elecciones meaning a political election.
Dame un **beso**,Give me a kiss; Masculine noun for a kiss and dos besos is a normal Spanish greeting.
Escucha esta **conversación**,Listen to this conversation; Feminine noun for a conversation with plural conversaciones.
Ven a mis **brazos**,Come into my arms; Masculine plural of brazo meaning an arm of the body.
El **espíritu** sigue aquí,The spirit is still here; Masculine noun for a spirit or a ghost with plural espíritus.
¿Por qué no me **dejas**?,"Why won't you leave me alone?; dejar in the present, for you (tú) — to leave something or let someone do it."
No me **interesa** nada,"I'm not interested at all; interesar in the present, for he/she/it — works like gustar, as in me interesa."
Tengo **fe** en ti,I have faith in you; Feminine noun for faith or trust as in de buena fe.
Ella nunca **muestra** miedo,"She never shows fear; mostrar in the present, for he/she/it — to show, with o becoming ue."
Es una **trampa**,It's a trap; Feminine noun for a trap or trickery and hacer trampa is to cheat.
No tengo **memoria** de eso,I have no memory of that; Feminine noun for memory as a faculty while un recuerdo is one memory.
Es todo lo **contrario**,It's exactly the opposite; Masculine noun for the opposite or the opponent as in al contrario.
Mi hijo es **soldado**,My son is a soldier; Masculine noun for a soldier though a woman is la soldado.
¿Puedo **subir**?,"Can I come up?; the plain form of subir, to go up or to get into a car."
Es mi **turno**,It's my turn; Masculine noun for a turn in line or a work shift.
Me **encantaría** ir,"I'd love to go; encantar as the would-form, for he/she/it — works like gustar and means would love."
Nos vemos en el **restaurante**,See you at the restaurant; Masculine noun for a restaurant with plural restaurantes.
Está **saliendo** ahora,"He's leaving right now; the -ing form of salir, to leave or go out or be dating."
Gracias por la **bienvenida**,Thanks for the welcome; Feminine noun for a welcome and as a greeting it agrees with the arrival.
Vas a **caer**,"You're going to fall; the plain form of caer, to fall, though a person tripping uses caerse."
Te **llevaré** a casa,"I'll take you home; llevar in the future, for I — to carry or take something away."
No hay **leche**,There's no milk; Feminine noun for milk and tener mala leche means a foul mood.
Mira las **estrellas**,Look at the stars; Feminine plural of estrella meaning a star or a film star.
**Prefiero** el café,"I prefer coffee; preferir in the present, for I — to prefer, with e becoming ie."
¿Funciona la **red**?,Is the network working?; Feminine noun for a net or network and la red is the internet.
**Oiga** señor,"Excuse me sir; oír as a polite command to one person, used to flag down a stranger or a waiter."
Espero que **estén** bien,"I hope they're all right; estar in the subjunctive (after wishes, doubt, hopes), for they — needed after phrases like espero que."
Tenemos **cuentas** que pagar,We have bills to pay; Feminine plural of cuenta meaning a bill or a bank account.
Voy a llamar un **taxi**,I'm going to call a taxi; Masculine noun for a taxi with plural taxis and a driver called taxista.
Ese **anillo** es de mi madre,That ring is my mother's; Masculine noun for a ring of any kind including a wedding band.
No quiero **preguntar** otra vez,"I don't want to ask again; the plain form of preguntar, to ask a question or ask after someone."
La **victoria** es nuestra,The victory is ours; Feminine noun for a victory or win.
